Date	TP KTF10	TP KTF101	TP KTF11	TP KTF12	TP KTF17	TP KTF17 EUR	TP KTF17 USD	TP KTF18	TP KTFTUK	TP KTFTUK01
13-08-2004	32,02		28,07	29,77	25,26	5,21	3,50		30,35	
20-08-2004	32,39		28,72	30,07	26,90	3,98	5,56		31,02	
27-08-2004	32,69		28,40	30,16	23,05	4,44	5,41		30,85	
03-09-2004	33,17		27,62	29,94	25,19	4,83	4,84		30,67	
10-09-2004	33,24		28,39	29,74	25,70	6,25	5,51		31,06	
17-09-2004	32,38		28,10	29,59	24,62	4,29	7,40		30,66	
24-09-2004	32,00		27,95	29,62	26,20	4,11	4,80		30,32	
01-10-2004	32,56		27,88	29,72	24,10	3,79	4,08		30,33	
08-10-2004	32,15		27,94	29,49	25,58	4,30	4,89		30,39	
15-10-2004	31,70		27,63	29,35	24,74	4,53	4,07		30,01	
22-10-2004	31,16		27,01	26,58	25,74	5,59	4,33		29,26	
29-10-2004	31,06		26,31	28,59	21,49	5,49	4,96		29,01	
05-11-2004	30,60		26,01	27,48	24,46	3,88	6,07		28,12	
12-11-2004	30,59		25,57	26,94	24,96	5,35	5,19		28,17	
19-11-2004	30,00		25,52	27,04	23,66	4,52	5,96		28,43	
26-11-2004	31,28		25,46	26,44	21,90	6,25	5,10		28,65	
03-12-2004	31,33		25,26	26,56	25,53	5,83	6,81		28,28	
10-12-2004	31,05		25,06	26,17	26,21	5,55	6,98		28,07	
17-12-2004	30,62		24,79	25,90	27,61	4,30	6,40		28,15	
24-12-2004	30,69		24,45	25,49	25,78	4,71	6,92		28,01	
31-12-2004	31,45		24,07	25,19	25,03	5,24	5,42		27,27	
07-01-2005	29,98		24,65	22,83	26,23	5,05	4,50		26,13	
14-01-2005	30,27		23,95	22,39	24,31	4,95	5,39		27,05	
21-01-2005	29,35		23,01	22,05	25,71		7,27		26,37	
28-01-2005	29,14		22,36	21,18	22,20	5,71	4,83		25,99	
04-02-2005	28,12		21,93	20,97	23,52	4,56	6,89		25,12	
11-02-2005	25,84		21,70	20,60	22,30	3,94	6,34		24,68	
18-02-2005	25,25		21,13	20,27	22,64	6,45	6,39		24,40	
25-02-2005	25,66		20,44	19,79	23,48	5,62	6,26		24,17	
04-03-2005	27,15		19,99	19,23	22,54	6,19	6,72		23,30	
11-03-2005	27,56		20,04	18,99	23,73	5,66	5,13		23,15	
18-03-2005	24,89		19,69	18,68	23,94	3,47	6,24		22,11	
25-03-2005	25,25		19,48	18,54	26,52	3,96	6,06		22,18	
01-04-2005	25,34		19,10	18,44	21,03	5,14	5,54		21,61	
08-04-2005	25,18		19,27	18,26	22,40	3,39	6,75		21,55	
15-04-2005	24,88		18,89	18,25	21,37	5,55	6,06		21,12	
22-04-2005	25,23		18,58	18,29	22,77	5,05	6,16		21,37	
29-04-2005	25,02		18,39	18,15	20,17	5,36	5,63		21,06	
06-05-2005	25,03		18,39	18,15	20,66	4,94	6,16		21,10	
13-05-2005	24,92		18,52	18,08	20,32	4,36	6,10		20,89	
20-05-2005	24,76		18,15	18,02	19,55	5,94	6,95		20,96	
27-05-2005	25,20		18,14	17,92	19,34	4,50	6,90		21,13	
03-06-2005	24,99		18,30	17,92	19,92	4,13	4,95		20,93	
10-06-2005	25,38		18,38	17,91	20,76	5,82	6,78		21,36	
17-06-2005	24,54		17,90	16,93	20,70	5,12	5,54		20,68	
24-06-2005	24,67		17,48	16,61	20,68	3,27	6,28		20,54	
01-07-2005	25,12		18,28	16,40	18,90	3,69	5,81		20,18	
08-07-2005	24,85		17,02	16,22	18,60	4,49	7,41		19,77	
15-07-2005	25,68		17,00	15,99	19,80	5,33	5,45		20,22	
22-07-2005	25,56		16,76	15,96	20,19	4,98	5,87		20,37	
29-07-2005	24,15		18,00	16,00	19,06	5,17	6,19		19,66	
05-08-2005	24,33		16,29	15,96	18,99	5,64	5,32		19,29	
12-08-2005	24,83		16,38	15,90	18,99	5,13	5,71		19,37	
19-08-2005	23,88		20,09	17,45	17,53	4,77	6,23		20,27	
26-08-2005	23,97		19,88	17,27	17,71	3,89	5,59		20,01	
02-09-2005	23,68		19,66	17,27	18,91	5,02	6,34		19,80	
09-09-2005	23,84		20,05	17,20	20,55	3,31	6,60		19,97	
16-09-2005	23,68		19,92	17,21	19,60	4,24	7,16		19,99	
23-09-2005	23,74		19,67	17,06	20,13	4,64	5,86		19,74	
30-09-2005	23,55		19,46	16,68	18,34	4,51	5,37		19,36	
07-10-2005	22,80		19,46	16,34	19,34	5,23	5,82		18,91	
14-10-2005	22,54		19,47	16,32	19,33	3,96	6,78		18,80	
21-10-2005	22,87		19,39	16,54	20,13	4,63	6,33		19,23	
28-10-2005	22,17		19,06	16,26	19,69	4,60	7,21		18,72	
04-11-2005	21,26		18,71	15,80	17,80	4,81	6,50		18,13	
11-11-2005	21,70		19,55	16,13	18,44	3,95	6,38		18,65	
18-11-2005	21,87		19,19	16,01	15,88	3,97	7,06		18,48	
25-11-2005	21,62		18,56	15,68	17,43	5,08	6,36		18,15	
02-12-2005	22,26		18,42	16,06	19,00	5,15	6,33		18,38	
09-12-2005	21,17		18,44	15,72	18,72	4,35	6,55		18,18	
16-12-2005	21,87		18,00	15,59	19,39	3,90	6,25		18,05	
23-12-2005	21,66		17,58	15,35	19,27	5,74	6,14		17,65	
30-12-2005	21,35		16,78	15,10	16,57	4,86	6,34		17,13	
06-01-2006	21,19		17,36	15,10	19,50	3,98	6,36		17,44	
13-01-2006										
20-01-2006	21,39		18,18	15,35	21,12	4,29	7,19		17,85	
27-01-2006	21,48		17,80	15,11	17,32	4,21	6,68		17,54	
03-02-2006	21,38		17,51	15,01	20,55	4,92	6,27		17,36	
10-02-2006	21,36		17,92	14,91	18,75	4,22	6,64		17,38	
17-02-2006	21,05		17,77	15,00	19,64	5,38	6,66		17,43	
24-02-2006	20,96		17,24	14,66	17,40	4,41	6,42		17,02	
03-03-2006	21,08		17,28	14,98	16,64	4,44	6,42		17,19	
10-03-2006	20,87		17,27	14,86	17,28	4,23	6,46		17,18	
17-03-2006	21,13		17,22	14,73	16,85	4,29	4,75		17,18	
24-03-2006	20,83		16,65	14,56	17,53	4,48	6,54		16,88	
31-03-2006	20,65		16,10	14,47	16,01	4,63	6,29		16,61	
07-04-2006	20,45		16,40	14,07	17,15	4,72	6,58		16,38	
14-04-2006	19,99		16,14	14,27	17,06	3,59	6,25		16,24	
21-04-2006	19,71		16,19	14,15	17,55	4,74	5,95		16,37	
28-04-2006	18,39		13,55	13,29	16,28	4,28	6,28		15,84	
05-05-2006	20,62		13,47	13,90	16,60	4,44	5,93		16,54	
12-05-2006	18,90		13,67	13,81	16,23	3,81	6,77		16,08	
19-05-2006	18,98		13,48	14,22	15,83	4,62	6,34		15,98	
26-05-2006	19,14		13,96	14,76	15,40	4,05	6,27		16,60	
02-06-2006	20,17		14,58	15,69	15,97	4,57	6,89		17,40	
09-06-2006	21,36		16,36	16,63	16,65	4,66	6,87		18,56	
16-06-2006	22,05		17,25	17,29	17,25	5,49	6,54		19,41	
23-06-2006	22,23		18,66	18,23	17,76	4,21	6,82		20,35	
30-06-2006	25,57		20,84	18,54	19,22	4,82	6,52		22,63	
07-07-2006	27,45		22,43	20,68	20,15	4,98	6,17		24,89	
14-07-2006	27,76		23,06	21,80	19,50	4,27	6,29		25,52	
21-07-2006	27,82		23,35	21,29	20,27	5,19	7,12		25,43	
28-07-2006	28,04		22,71	20,90	19,38	5,35	6,81		25,29	
04-08-2006	27,99		22,35	21,14	20,18	5,97	7,27		25,24	
11-08-2006	28,17		22,66	21,83	20,02	5,13	6,35		25,76	
18-08-2006	27,94		22,51	22,02	19,70	4,34	6,75		25,62	
25-08-2006	27,73		22,22	21,83	20,00	5,28	7,04		25,41	
01-09-2006	27,44		21,41	21,55	18,92	4,61	6,60		24,93	
08-09-2006	27,16		21,78	21,96	19,85	5,12	7,44		25,07	
15-09-2006	26,97		21,54	21,63	19,81	4,60	7,22		24,58	
22-09-2006	26,80		21,45	21,96	20,56	4,80	7,22		24,70	
29-09-2006	26,93		21,30	21,66	19,77	5,01	7,14		24,54	
06-10-2006	26,94		21,55	21,54	20,43	4,76	7,16		24,63	
13-10-2006	26,40		21,66	21,65	19,87	5,47	7,25		24,33	
20-10-2006	26,17		21,77	21,83	20,86	5,83	8,04		24,29	
27-10-2006	26,86		22,04	21,57	20,09	6,26	7,61		24,80	
03-11-2006	26,61		22,06	21,42	20,71	5,26	7,29		24,51	
10-11-2006	26,73		21,95	21,79	21,11	5,37	7,35		24,57	
17-11-2006	26,54		21,79	21,62	19,73	5,31	7,08		24,17	
24-11-2006	25,24		21,50	20,97	20,80	4,98	7,14		23,49	
01-12-2006	24,09		21,45	19,47	19,67	4,92	8,21		22,26	
08-12-2006	25,76		20,88	19,67	20,49	5,28	7,31		22,86	
15-12-2006	25,15		21,04	19,85	19,78	5,35	6,95		22,62	
22-12-2006	25,26		20,81	21,09	19,95	5,57	6,88		23,38	
29-12-2006	25,25		20,46	21,53	19,40	6,02	7,20		23,12	
05-01-2007	25,16		20,52	21,45	18,22	6,35	7,75		23,26	
12-01-2007	25,36		21,53	21,30	19,83	5,92	7,27		23,81	
19-01-2007	25,72		21,52	21,30	20,35	6,53	7,20		23,89	
26-01-2007	25,75		21,51	21,30	18,66	5,47	6,95		23,95	
02-02-2007	25,21		21,42	21,19	19,97	6,30	7,66		23,57	
09-02-2007	24,88		21,74	20,38	20,12	6,25	7,19		23,16	
16-02-2007	24,45		21,26	19,78	19,43	6,38	7,18		22,65	
23-02-2007	24,77		20,93	19,68	19,49	7,04	7,13		22,75	
02-03-2007	24,80		20,53	19,68	19,11	5,51	7,17		22,60	
09-03-2007	24,63		20,60	19,47	19,94	5,22	7,40		22,49	
16-03-2007	24,38		20,27	19,48	19,37	5,17	6,97		22,36	
23-03-2007	24,42		20,11	19,23	18,93	6,16	7,29		22,18	
30-03-2007	24,65		19,80	19,42	19,14	6,04	6,94		22,36	
06-04-2007	24,19		19,85	19,10	19,40	7,02	6,94		22,00	
13-04-2007	23,56		19,92	19,18	19,12	6,03	7,14		21,67	
20-04-2007	22,94		19,73	19,36	21,21	6,27	6,98		21,35	
27-04-2007	23,10		19,70	19,54	19,19	5,38	6,08		21,62	
04-05-2007	23,10		19,64	19,08	19,15	5,87	7,65		21,35	
11-05-2007	23,23		19,89	19,14	18,85	5,46	7,32		21,56	
18-05-2007	22,75		19,69	18,67	18,98	7,71	6,89		21,09	
25-05-2007	23,25		19,53	18,07	19,64	5,69	6,66		21,00	
01-06-2007	23,33		19,21	18,11	18,12	5,91	7,56		21,22	
08-06-2007	23,87		19,57	17,98	18,98	5,45	6,97		20,98	
15-06-2007	24,06		19,78	18,11	18,67	5,80	7,06		21,33	
22-06-2007	23,37		19,53	18,08	19,18	5,89	6,71		21,08	
29-06-2007	23,09		19,54	17,88	18,99	6,15	6,58		20,92	
06-07-2007	22,88		19,46	17,59	19,12	6,01	7,25		20,65	
13-07-2007	22,57		19,48	17,66	18,56	5,94	7,04		20,57	
20-07-2007	22,36		19,44	17,31	18,88	6,04	6,53		20,26	
27-07-2007	24,35		18,98	17,15	18,93	6,17	6,69		21,50	
03-08-2007	22,37		18,72	17,06	18,10	5,85	6,61		20,06	
10-08-2007	22,17		18,75	17,03	18,78	6,28	6,84		20,08	
17-08-2007	21,88		18,60	16,98	17,82	6,01	7,09		19,80	
24-08-2007	21,99		18,53	17,05	18,87	6,83	6,78		19,86	
31-08-2007	21,94		18,48	17,48	17,41	6,01	6,91		20,13	
07-09-2007	21,99		18,32	17,46	18,79	6,49	7,12		20,13	
14-09-2007	21,89		18,59	17,59	18,47	5,96	6,34		20,09	
21-09-2007	24,59		18,56	17,49	18,19	6,43	7,07		21,74	
28-09-2007	21,55		18,41	17,79	17,90	6,46	6,96		20,06	
05-10-2007	21,11		18,43	17,43	18,44	5,56	6,85		19,88	
12-10-2007	20,74		18,41	17,66	18,72	6,61	7,46		19,82	
19-10-2007	21,24		18,39	16,81	17,45	6,69	7,09		19,73	
26-10-2007	22,16		18,15	17,17	17,24	5,87	6,95		20,08	
02-11-2007	22,38		17,86	17,85	17,96	6,18	6,83		20,37	
09-11-2007	21,99		18,00	17,03	18,06	6,16	6,82		19,78	
16-11-2007	20,82		17,90	16,68	16,90	6,28	7,22		19,17	
23-11-2007	20,38		17,43	16,57	17,78	5,93	7,18		18,91	
30-11-2007	20,15		17,04	16,58	16,46	6,32	6,45		18,71	
07-12-2007	20,15		16,99	16,52	17,92	6,32	7,05		18,58	
14-12-2007	19,53		16,85	16,61	17,10	6,11	6,83		18,34	
21-12-2007	19,30		16,77	16,77	18,05	6,56	6,46		18,30	
28-12-2007	19,22		16,53	16,21	17,26	6,31	5,77		17,97	
04-01-2008	19,66		16,46	16,80	17,24	6,02	6,54		18,36	
11-01-2008	19,86		17,03	16,51	16,69	6,87	6,72		18,61	
18-01-2008	19,95		16,83	16,46	17,13	6,11	6,04		18,52	
25-01-2008	19,86		16,85	16,25	18,00	6,74	6,03		18,38	
01-02-2008	19,98		16,88	16,29	16,85	6,79	5,44		18,35	
08-02-2008	19,49		16,85	16,13	17,69	6,14	5,43		18,11	
15-02-2008	20,04		16,98	16,38	16,56	6,87	5,27		18,32	
22-02-2008	19,85		17,03	16,51	17,23	6,95	5,34		18,42	
29-02-2008	20,32		16,96	16,62	15,92	7,07	5,70		18,69	
07-03-2008	20,69		17,51	16,63	17,23	6,61	5,53		18,89	
14-03-2008	20,44		17,28	16,74	16,48	6,49	5,89		18,67	
21-03-2008	20,59		17,99	17,50	17,49	6,57	5,34		19,23	
28-03-2008	20,79		18,25	18,24	16,95	5,44	4,46		19,72	
04-04-2008	21,09		18,48	18,12	17,54	6,65	4,95		19,85	
11-04-2008	21,44		18,99	17,99	17,02	6,50	4,60		19,99	
18-04-2008	20,62		18,97	17,98	17,68	7,02	4,57		19,62	
25-04-2008	20,84		18,61	18,14	17,33	4,75	4,86		19,83	
02-05-2008	20,60		18,57	17,99	16,51	5,89	5,03		19,59	
09-05-2008	20,72		19,02	17,66	17,42	6,20	4,50		19,65	
16-05-2008	20,59		18,86	17,55	17,96	6,03	4,89		19,39	
23-05-2008	20,76		18,72	16,95	17,89	6,14	4,59		19,33	
30-05-2008	21,09		18,71	17,11	17,75	6,15	4,49		19,62	
06-06-2008	20,83		18,80	17,24	17,74	6,24	4,39		19,56	
13-06-2008	20,93		18,96	17,38	17,89	6,40	4,63		19,53	
20-06-2008	21,19		19,16	17,68	18,76	6,50	4,83		19,86	
27-06-2008	22,03		19,22	18,11	18,00	6,59	5,40		20,54	
04-07-2008	21,57		19,50	18,17	18,80	7,09	4,56		20,28	
11-07-2008	21,71		20,25	18,87	17,99	7,30	5,54		20,75	
18-07-2008	21,54		20,31	19,20	18,86	6,92	4,72		20,80	
25-07-2008	22,02		20,13	19,46	18,96	6,91	5,68		21,27	
01-08-2008	22,64		19,83	19,42	18,66	7,03	6,53		21,57	
08-08-2008	22,51		20,03	19,10	18,52	6,96	5,24		21,53	
15-08-2008	22,27		20,00	18,89	18,22	6,84	5,96		21,34	
22-08-2008	21,92		19,88	19,20	18,37	7,35	5,57		21,09	
29-08-2008	21,47		19,70	18,82	17,96	7,51	7,01		20,69	
05-09-2008	22,03		19,78	19,03	18,36	7,40	5,52		21,12	
12-09-2008	21,87		19,56	18,60	18,29	7,25	3,84		20,91	
19-09-2008	20,66		19,52	18,26	19,16	7,24	5,22		20,03	
26-09-2008	20,37		19,35	18,16	18,31	7,59	5,50		19,77	
03-10-2008	21,19		19,46	18,61	18,69	8,54	5,08		20,25	
10-10-2008	21,44		19,73	18,32	19,79	9,03	6,77		20,46	
17-10-2008	22,41		20,82	18,85	20,90	9,04	7,02		21,21	
24-10-2008	22,95		21,14	19,76	21,41	10,18	8,92		21,87	
31-10-2008	23,72		21,85	20,89	21,44	11,51	7,28		22,81	
07-11-2008	24,93		23,58	22,29	21,99	11,59	9,93		24,33	
14-11-2008	26,30		24,30	22,57	22,40	10,54	7,05		25,42	
21-11-2008	25,02		24,36	22,74	22,99	11,26	10,37		24,55	
28-11-2008	24,09		23,95	23,16	22,37	8,49	8,65		23,93	
05-12-2008	24,78		24,06	22,98	23,10	12,20	11,03		24,47	
12-12-2008	24,74		23,58	22,61	20,84	10,39	7,74		24,29	
19-12-2008	24,81		21,44	22,15	23,45	8,87	10,03		24,27	
26-12-2008	23,55		22,54	21,78	22,30	9,49	6,78		23,27	
02-01-2009	26,26		21,59	20,67	22,80	10,11	3,27		25,11	
09-01-2009	23,58		22,85	19,83	22,74	9,79	6,18		22,96	
16-01-2009	22,58		22,17	18,92	21,42	8,19	8,05		21,79	
23-01-2009	21,09		21,11	18,23	20,69	8,99	6,16		20,49	
30-01-2009	20,78		20,53	17,60	21,36	8,97	7,21		19,98	
06-02-2009	20,84		21,36	18,36	20,49	8,68	8,46		20,27	
13-02-2009	22,02		21,29	18,21	19,86	7,25	6,44		20,87	
20-02-2009	21,52		20,45	18,24	18,54	7,92	8,61		20,52	
27-02-2009	21,51		20,41	18,03	17,75	7,50	6,28		20,49	
06-03-2009	22,66		20,27	18,23	19,02	8,05	8,17		21,17	
13-03-2009	22,37		20,74	18,44	18,74	8,40	7,14		21,02	
20-03-2009	22,03		20,09	18,39	18,12	7,17	6,01		20,80	
27-03-2009	20,14		19,18	18,03	16,81	7,33	7,85		19,54	
03-04-2009	18,57		18,66	17,47	16,77	7,47	6,13		18,28	
10-04-2009	18,85		18,72	17,40	16,23	6,78	7,19		18,45	
17-04-2009	19,22		18,77	17,08	14,98	7,27	5,92		18,59	
24-04-2009	19,41		18,36	17,09	14,98	7,86	7,43		18,73	
01-05-2009	19,18		18,47	16,98	13,84	9,21	6,29		18,52	
08-05-2009	20,30		18,48	16,79	14,08	7,03	6,94		19,08	
15-05-2009	20,48		18,30	16,79	14,21	7,20	5,31		19,15	
